Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20232067,VIC,4,2023,Thursday,14:28,Multiple,5,No,No,Yes,100,Inner Regional Australia,Shepparton,Moira,National or State Highway,No,No,Weekday,Day
20231129,NSW,4,2023,Friday,14:19,Multiple,1,No,No,No,100,Inner Regional Australia,Central West,Lithgow,National or State Highway,No,No,Weekday,Day
20232051,VIC,4,2023,Tuesday,16:02,Single,1,No,No,No,50,Unknown,Unknown,Unknown,Local Road,No,No,Weekday,Day
20235028,WA,4,2023,Thursday,9:26,Single,1,No,No,No,70,,,,,No,No,Weekday,Day
20231102,NSW,4,2023,Wednesday,10:55,Multiple,1,No,No,No,80,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,Weekday,Day
20231168,NSW,4,2023,Monday,13:04,Single,1,No,No,Yes,100,Inner Regional Australia,Capital Region,Snowy Monaro Regional,National or State Highway,No,No,Weekday,Day
20231067,NSW,4,2023,Sunday,8:20,Single,1,No,No,No,60,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,No,No,Weekend,Day
20234002,SA,4,2023,Friday,20:20,Single,1,No,No,No,60,Major Cities of Australia,Adelaide - West,West Torrens,Arterial Road,No,No,Weekend,Night
20233094,QLD,4,2023,Saturday,23:00,Single,1,No,No,No,60,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,No,No,Weekend,Night
20231198,NSW,4,2023,Friday,15:30,Single,1,No,No,No,50,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,No,No,Weekday,Day
20231085,NSW,4,2023,Thursday,7:30,Single,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road,No,No,Weekday,Day
20233042,QLD,4,2023,Thursday,18:00,Single,1,No,No,No,60,Major Cities of Australia,Logan - Beaudesert,Logan,Collector Road,No,Yes,Weekday,Night
20231041,NSW,4,2023,Wednesday,17:10,Single,1,No,No,No,50,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,No,No,Weekday,Day
20233173,QLD,4,2023,Wednesday,4:00,Single,1,No,No,No,80,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No,Weekday,Night
20232028,VIC,4,2023,Saturday,3:34,Multiple,1,No,No,No,60,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road,No,No,Weekend,Night
20231121,NSW,4,2023,Thursday,19:20,Multiple,1,No,No,No,70,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,Weekday,Night
20231078,NSW,4,2023,Thursday,17:45,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No,Weekday,Day
20231086,NSW,4,2023,Saturday,0:55,Multiple,1,No,No,Yes,110,Major Cities of Australia,Capital Region,Yass Valley,National or State Highway,No,No,Weekend,Night
20233134,QLD,4,2023,Sunday,22:00,Single,1,No,No,No,100,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway,No,No,Weekend,Night
20235091,WA,4,2023,Sunday,7:10,Single,1,No,No,No,110,,,,,No,Yes,Weekend,Day
20231147,NSW,4,2023,Sunday,12:09,Single,1,No,No,No,110,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway,No,No,Weekend,Day
20233177,QLD,4,2023,Saturday,6:00,Single,1,No,Yes,No,80,Outer Regional Australia,Townsville,Townsville,National or State Highway,No,No,Weekend,Day
20231206,NSW,4,2023,Saturday,10:00,Single,1,No,No,No,60,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,No,No,Weekend,Day
